Sergey Pavlovich Cherepanov;M;24.0;181.0;70.0;Kazakhstan;KAZ;2010 Winter;2010;Winter;Vancouver;Cross Country Skiing
Giorgio Di Centa;M;29.0;174.0;67.0;Italy;ITA;2002 Winter;2002;Winter;Salt Lake City;?
Jrg Bruder;M;?;180.0;?;Brazil;BRA;1964 Summer;1964;Summer;Tokyo;Sailing
Yul Mark Du Pont;M;17.0;?;76.0;Swaziland;SWZ;1988 Summer;1988;Summer;Seoul;Swimming
Madeleine Bochatay (-Montessuit);F;20.0;169.0;60.0;France;FRA;1964 Winter;1964;Winter;Innsbruck;Alpine Skiing
Morten Finstad;M;26.0;?;85.0;Norway;NOR;1994 Winter;1994;Winter;Lillehammer;Ice Hockey
Chen Hong;M;?;182.0;72.0;China;?;2004 Summer;2004;Summer;Athina;Badminton
Bruno Banzer;M;25.0;173.0;65.0;Liechtenstein;LIE;1972 Summer;1972;Summer;Munich;Gymnastics
Jos Alfredo Bea Garca;M;26.0;170.0;72.0;Spain;ESP;?;?;Summer;Atlanta;Canoeing
Yukio Endo;M;27.0;161.0;58.0;Japan;JPN;1964 Summer;1964;Summer;Tokyo;Gymnastics
Fernanda Fernandinha Ferreira;F;32.0;?;66.0;Brazil;BRA;2012 Summer;2012;Summer;London;Volleyball
Britta Kristin Bthe;F;28.0;185.0;78.0;Germany-2;GER;2016 Summer;2016;Summer;?;?
Mariko Adachi;F;29.0;162.0;51.0;Japan;JPN;2012 Summer;2012;Summer;London;Triathlon
Choi Heung-Cheol;M;24.0;173.0;60.0;South Korea;KOR;2006 Winter;2006;Winter;Torino;Ski Jumping
Michael Scott Mike Evans;M;36.0;188.0;93.0;United States;USA;1996 Summer;1996;Summer;Atlanta;Water Polo
?;M;24.0;178.0;75.0;United States-1;USA;2006 Winter;2006;Winter;Torino;Figure Skating
