Vittorio Gassman;nm0002094;A Wedding;?;?;7.1;?
?;?;El Calentito;2005;530;?;?
Annette Bening;nm0000906;?;2003;67332;7.4;?
?;nm1263939;?;2010;40584;5.6;?
Vincent Price;?;Son of Sinbad;1955;?;?;tt0048642
?;?;?;?;?;?;?
?;nm0002989;Massacre at Central High;1976;1776;6.1;tt0074875
Ruth Bradley;nm1094112;Flyboys;2006;41414;6.5;tt0454824
?;nm0001667;Another Me;?;?;4.7;tt1816608
?;?;?;?;482;6.1;?
Francesca Eastwood;?;?;2019;?;?;?
Rod Steiger;?;?;1964;312;6.7;?
?;?;The Fat Black Pussycat;1963;110;?;?
Patty McCormack;nm0566478;?;1957;?;7.1;?
